boostclock,brand,chipmake,coreclock,gpu,memoryclock,memoryinterface,memorysize,memorytype,model,price,productname,rank,rating,url
,"October 23, 2020",,,,,,,,,,,,,
,"December 06, 2020",,,,,,,,,,,,,
,PNY,,,,,,,,,,,,,
,EVGA,,,,,,,,,,,,,
,"September 27, 2019",,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,"August 05, 2020",,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,ASUS,,,,,,,,ROG-STRIX-GTX1660S-A6G-GAMING,,,,,
,"July 07, 2020",,,,,,,,,,,,,
,PNY,,,,,,,,,,,,,
,PNY,,,,,,,,,,,,,
,"November 06, 2020",,,,,,,,,,,,,
,VisionTek,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,ASUS,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,"December 10, 2020",,,,,,,,,,,,,
,"November 02, 2020",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,ASUS,,,,,,,,STRIX-GTX1050TI-O4G-GAMING,,,,,
,Colorful,,,,,,,,,,,,,
,ZOTAC,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,"June 03, 2020",,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,"October 20, 2016",,,,,,,,,,,,,
,EVGA,,,,,,,,,,,,,
,"October 23, 2020",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"July 07, 2020",,,,,,,,,,,,,
,ASUS,,,,,,,,ROG-STRIX-RX580-T8G-GAMING,,,,,
,VisionTek,,,,,,,,,,,,,
,PowerColor,,,,,,,,AXRX 5700 XT 8GBD6-3DHE/OC,,,,,
,"July 07, 2020",,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,ASUS,,,,,,,,DUAL-RTX2080S-O8G-EVO-V2,,,,,
,PNY,,,,,,,,,,,,,
,EVGA,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,"October 07, 2020",,,,,,,,,,,,,
,"July 07, 2020",,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,GeForce 8400GS  1GB,,,,,,,,,,,,,
,ASUS,,,,,,,,TUF-GTX1660-O6G-GAMING,,,,,
,MSI,,,,,,,,,,,,,
,PCI Express 3.0 x16,,,,,,,,,,,,,
,ASUS,,,,,,,,TURBO-RTX2080S-8G-EVO,,,,,
,GIGABYTE,,,,,,,,,,,,,
,VisionTek,,,,,,,,,,,,,
,EVGA,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,EVGA,,,,,,,,01G-P3-1312-LR,,,,,
,PCI Express 3.0 x16,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Dell,,,,,,,,,,,,,
,"August 17, 2017",,,,,,,,,,,,,
,"June 12, 2019",,,,,,,,,,,,,
,SAPPHIRE,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,VisionTek,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,ASUSTEK,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,"July 13, 2020",,,,,,,,,,,,,
,"June 12, 2019",,,,,,,,,,,,,
,EVGA,,,,,,,,01G-P3-1312-LR,,,,,
,ASUS,,,,,,,,CERBERUS-GTX1050TI-O4G,,,,,
,"February 23, 2019",,,,,,,,,,,,,
,GIGABYTE,,,,,,,,GV-N207SAORUS-8GC,,,,,
,ASUSTEK,,,,,,,,,,,,,
,LENOVO - DESKTOP OPTIONS,,,,,,,,,,,,,
,PCI Express 3.0,,,,,,,,,,,,,
,ASUS,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Radeon X600,,,,,,,,,,,,,
,AMD,,,,,,,,100-505749,,,,,
,MSI,,,,,,,,,,,,,
,SAPPHIRE,,,,,,,,11296-01-20G,,,,,
,"November 02, 2020",,,,,,,,,,,,,
,XFX,,,,,,,,,,,,,
,BTO,,,,,,,,,,,,,
,ADMS Advanced Microsystem,,,,,,,,,,,,,
,"October 01, 2019",,,,,,,,,,,,,
,ZOTAC,,,,,,,,,,,,,
,"October 19, 2020",,,,,,,,,,,,,
,"November 03, 2020",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,PCI Express 3.0,,,,,,,,,,,,,
,BIOSTAR,,,,,,,,VA5515RF41,,,,,
,,,,,,,,,,,,,,
,PCI Express 3.0 x16,,,,,,,,,,,,,
,"October 20, 2020",,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,NVIDIA,,,,,,,,1709MHz,,,,,
,SAPPHIRE,,,,,,,,11266-09-20G,,,,,
,VisionTek,,,,,,,,,,,,,
,"June 25, 2020",,,,,,,,,,,,,
,PNY,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,Corn Electroncis,,,,,,,,,,,,,
,BIOSTAR,,,,,,,,VA5515RF21,,,,,
,VisionTek,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,NVIDIA,,,,,,,,,,,,,
,"November 09, 2018",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,GV-N208TIXEB-11GC,,,,,
,MSI,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"October 20, 2020",,,,,,,,,,,,,
,Dell,,,,,,,,AMD FirePro M4000,,,,,
,EVGA,,,,,,,,,,,,,
,Colorful,,,,,,,,,,,,,
,"June 25, 2020",,,,,,,,,,,,,
,PNY,,,,,,,,,,,,,
,VisionTek,,,,,,,,,,,,,
,EVGA,,,,,,,,,,,,,
,VisionTek,,,,,,,,,,,,,
,PNY,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,ASUS,,,,,,,,ROG-STRIX-RX5600XT-T6G-GAMING,,,,,
,"June 03, 2020",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,XFX,,,,,,,,,,,,,
,PCI Express 3.0 x16,,,,,,,,,,,,,
,ASUSTEK,,,,,,,,,,,,,
,PCI Express 2.0 x16,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,PCI Express 3.0 x16,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,PNY,,,,,,,,VCGGTX480XPB,,,,,
,AMD,,,,,,,,RX 570,,,,,
,MSI,,,,,,,,,,,,,
,Hewlett-Packard,,,,,,,,,,,,,
,MAXSUN,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"November 25, 2020",,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Dell,,,,,,,,Nvidia Tesla M2090,,,,,
,EVGA,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,PCI Express 3.0,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,VisionTek,,,,,,,,,,,,,
,BIOSTAR,,,,,,,,VA5515RF41-TBMRA,,,,,
,"November 12, 2020",,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,VisionTek,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,ASUS,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,GV-RX580AORUS-8GD,,,,,
,"June 25, 2020",,,,,,,,,,,,,
,"November 05, 2020",,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,EVGA,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,ViewMax,,,,,,,,VX-RX5704GBD5,,,,,
,GIGABYTE,,,,,,,,,,,,,
,ZOTAC,,,,,,,,,,,,,
,XFX,,,,,,,,,,,,,
,MAXSUN,,,,,,,,,,,,,
,"June 04, 2020",,,,,,,,,,,,,
,VisionTek,,,,,,,,,,,,,
,"September 29, 2020",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,XFX,,,,,,,,RX-68XTACBD9,,,,,
,Lenovo,,,,,,,,,,,,,
,"November 06, 2020",,,,,,,,,,,,,
,EVGA,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,ASUS,,,,,,,,,,,,,
,ASUS,,,,,,,,ROG-STRIX-RTX2080TI-A11G-GAMING,,,,,
,MSI,,,,,,,,,,,,,
,EVGA,,,,,,,,512-P1-N402-LR,,,,,
,VisionTek,,,,,,,,,,,,,
,EVGA,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,EVGA,,,,,,,,,,,,,
,Zotac,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,MAXSUN,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,PNY,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,PCI Express 3.0 x16,,,,,,,,,,,,,
,Corn Electronics,,,,,,,,,,,,,
,PCI Express 2.0 x16,,,,,,,,,,,,,
,"November 19, 2019",,,,,,,,,,,,,
,XFX,,,,,,,,,,,,,
,EVGA,,,,,,,,,,,,,
,ASUS,,,,,,,,ROG-STRIX-RTX2080TI-11G-GAMING,,,,,
,EVGA,,,,,,,,,,,,,
,SAPPHIRE,,,,,,,,11265-05-20G,,,,,
,MSI,,,,,,,,,,,,,
,VisionTek,,,,,,,,900942,,,,,
,"May 09, 2020",,,,,,,,,,,,,
,PCI Express 3.0 x16,,,,,,,,,,,,,
,PCI Express 3.0 x16,,,,,,,,,,,,,
,ZOTAC,,,,,,,,,,,,,
,Geforce FX,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,Corn Electronics,,,,,,,,,,,,,
,EVGA,,,,,,,,,,,,,
,PCI Express 2.0 x16,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"October 11, 2019",,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,PNY,,,,,,,,,,,,,
,XFX,,,,,,,,RX-570P4DFDR,,,,,
,PCI Express 3.0 x16,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,INNO3D,,,,,,,,,,,,,
,ASUS,,,,,,,,TURBO-RTX2080TI-11G,,,,,
,GIGABYTE,,,,,,,,,,,,,
,"September 27, 2019",,,,,,,,,,,,,
,VisionTek,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,"September 09, 2020",,,,,,,,,,,,,
,ASUS,,,,,,,,PH-GTX1660-O6G,,,,,
,,,,,,,,,,,,,,
,MAXSUN,,,,,,,,,,,,,
,"February 18, 2019",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,ASUS,,,,,,,,ROG-STRIX-RTX2060-A6G-GAMING,,,,,
,"November 30, 2020",,,,,,,,,,,,,
,EVGA,,,,,,,,,,,,,
,PCI Express 3.0 x16,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,EVGA,,,,,,,,,,,,,
,PCI Express 2.0 x16,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,EVGA,,,,,,,,,,,,,
,ASUS,,,,,,,,TUF-RTX2060-O6G-GAMING,,,,,
,PNY,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,PCI Express x16,,,,,,,,,,,,,
,XFX,,,,,,,,,,,,,
,VisionTek,,,,,,,,,,,,,
,PowerColor,,,,,,,,AXRX 570 4GBD5-3DHD/OC,,,,,
,"October 31, 2020",,,,,,,,,,,,,
,ASUS,,,,,,,,STRIX-GTX1060-O6G-GAMING,,,,,
,MAXSUN,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,Barco,,,,,,,,,,,,,
,ASUS,,,,,,,,PH-GTX1650-O4G,,,,,
,GIGABYTE,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,GeForce 6200,,,,,,,,,,,,,
,ASUS,,,,,,,,,,,,,
,PCI Express 2.0 x16,,,,,,,,,,,,,
,"January 20, 2020",,,,,,,,,,,,,
,"May 23, 2018",,,,,,,,,,,,,
,ASUS,,,,,,,,ROG-STRIX-RTX2060S-O8G-GAMING,,,,,
,ASUS,,,,,,,,TUF 3-RX5700XT-O8G-EVO-GAMING,,,,,
,GT710,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
,ASUSTEK,,,,,,,,,,,,,
,MAXSUN,,,,,,,,,,,,,
,VisionTek,,,,,,,,,,,,,
,"July 16, 2019",,,,,,,,,,,,,
,EVGA,,,,,,,,,,,,,
,EVGA,,,,,,,,01G-P3-1312-LR,,,,,
,PCI Express 2.0 x16,,,,,,,,,,,,,
,EVGA,,,,,,,,,,,,,
,Wintek Technology Int'l Limited,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,PowerColor,,,,,,,,AXRX 570 4GBD5-DHDV3/OC,,,,,
,XFX,,,,,,,,,,,,,
,MSI,,,,,,,,GT 710 2GD3 LP,,,,,
,AMD RX550,,,,,,,,,,,,,
,SAPPHIRE,,,,,,,,,,,,,
,"December 14, 2020",,,,,,,,,,,,,
,PCI Express 3.0,,,,,,,,,,,,,
,MSI,,,,,,,,,,,,,
,MSI,,,,,,,,GTX 1050 Ti 4G OC,,,,,
,PowerColor,,,,,,,,AXRX 580 8GBD5-3DHG/OC,,,,,
,EVGA,,,,,,,,,,,,,
,BIOSTAR,,,,,,,,RADEON RX 560 GAMING,,,,,
,PCI Express 2.0 x16,,,,,,,,,,,,,
,GIGABYTE,,,,,,,,,,,,,
