ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,mo_sold,yr_sold,sale_type,saleprice
2story_1946_&_newer,RL,69.06,13517.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,725.0,GasA,Ex,Y,SBrkr,725.0,754.0,1479.0,0,2,1,3,1,Gd,6,Typ,0,,Attchd,1976,RFn,2,475.0,TA,TA,Y,0.0,44.0,3,2010,WD ,11.779128505744886
2story_1946_&_newer,RL,43.0,11492.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,913.0,GasA,Ex,Y,SBrkr,913.0,1209.0,2122.0,1,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1997,RFn,2,559.0,TA,TA,Y,0.0,74.0,4,2009,WD ,12.301382825334498
1story_1946_&_newer_all_styles,RL,68.0,7922.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,1057.0,GasA,TA,Y,SBrkr,1057.0,0.0,1057.0,1,1,0,3,1,Gd,5,Typ,0,,Detchd,1953,Unf,1,246.0,TA,TA,Y,0.0,52.0,1,2010,WD ,11.59910316121128
2story_1946_&_newer,RL,73.0,9802.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,384.0,GasA,Gd,Y,SBrkr,744.0,700.0,1444.0,0,2,1,3,1,TA,7,Typ,0,,BuiltIn,2007,Fin,2,400.0,TA,TA,Y,100.0,0.0,4,2010,WD ,12.066810578196666
11/2_story_finished_all_ages,RL,82.0,14235.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,676.0,GasA,TA,Y,SBrkr,831.0,614.0,1445.0,0,2,0,3,1,TA,6,Typ,0,,Detchd,1957,Unf,2,484.0,TA,TA,N,0.0,59.0,3,2010,WD ,11.83862560460953
1story_1946_&_newer_all_styles,RL,137.0,16492.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,1517.0,GasA,Ex,Y,SBrkr,1888.0,0.0,1888.0,0,2,1,2,1,Gd,6,Mod,1,Gd,Attchd,1966,Fin,2,578.0,TA,TA,Y,0.0,0.0,6,2010,WD ,12.154779351142624
pud__multilevel__incl_split_lev/foyer,RM,35.0,3675.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,547.0,GasA,Gd,Y,SBrkr,1072.0,0.0,1072.0,1,2,0,2,1,TA,5,Typ,0,,Basment,2005,Fin,2,525.0,TA,TA,Y,0.0,44.0,6,2006,New,11.84939770159144
1story_1946_&_newer_all_styles,RL,69.06,12160.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,1188.0,GasA,Fa,Y,SBrkr,1188.0,0.0,1188.0,1,1,0,3,1,TA,6,Typ,0,,Attchd,1959,RFn,2,531.0,TA,TA,Y,0.0,0.0,5,2010,COD,11.863582336583399
1story_1946_&_newer_all_styles,RL,69.06,15783.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,924.0,GasA,TA,Y,SBrkr,924.0,0.0,924.0,0,1,0,2,1,TA,6,Typ,0,,Detchd,1952,Unf,1,420.0,TA,TA,Y,0.0,324.0,6,2007,WD ,11.630708500626612
2story_1946_&_newer,RL,70.0,11606.0,Pave,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,1040.0,GasA,TA,Y,SBrkr,1040.0,1040.0,2080.0,0,1,2,5,1,Fa,9,Typ,2,TA,Attchd,1969,Unf,2,504.0,TA,TA,Y,335.0,0.0,9,2007,WD ,11.813030057420567
