lot_frontage,lot_area,year_built,year_remod/add,mas_vnr_area,bsmtfin_sf_1,total_bsmt_sf,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,bedroom_abvgr,totrms_abvgrd,fireplaces,garage_yr_blt,garage_cars,garage_area,wood_deck_sf,open_porch_sf,mo_sold,yr_sold
69.06,13517.0,1976,2005,289.0,533.0,725.0,725.0,754.0,1479.0,0,2,1,3,6,0,1976,2,475.0,0.0,44.0,3,2010
43.0,11492.0,1996,1997,132.0,637.0,913.0,913.0,1209.0,2122.0,1,2,1,4,8,1,1997,2,559.0,0.0,74.0,4,2009
68.0,7922.0,1953,2007,0.0,731.0,1057.0,1057.0,0.0,1057.0,1,1,0,3,5,0,1953,1,246.0,0.0,52.0,1,2010
73.0,9802.0,2006,2007,0.0,0.0,384.0,744.0,700.0,1444.0,0,2,1,3,7,0,2007,2,400.0,100.0,0.0,4,2010
82.0,14235.0,1900,1993,0.0,0.0,676.0,831.0,614.0,1445.0,0,2,0,3,6,0,1957,2,484.0,0.0,59.0,3,2010
137.0,16492.0,1966,2002,0.0,247.0,1517.0,1888.0,0.0,1888.0,0,2,1,2,6,1,1966,2,578.0,0.0,0.0,6,2010
35.0,3675.0,2005,2006,82.0,547.0,547.0,1072.0,0.0,1072.0,1,2,0,2,5,0,2005,2,525.0,0.0,44.0,6,2006
69.06,12160.0,1959,1959,180.0,1000.0,1188.0,1188.0,0.0,1188.0,1,1,0,3,6,0,1959,2,531.0,0.0,0.0,5,2010
69.06,15783.0,1952,1952,0.0,292.0,924.0,924.0,0.0,924.0,0,1,0,2,6,0,1952,1,420.0,0.0,324.0,6,2007
70.0,11606.0,1969,1969,192.0,650.0,1040.0,1040.0,1040.0,2080.0,0,1,2,5,9,2,1969,2,504.0,335.0,0.0,9,2007
21.0,1680.0,1971,1971,232.0,387.0,483.0,483.0,504.0,987.0,0,1,1,2,4,0,1971,1,264.0,0.0,0.0,7,2008
64.0,7488.0,2005,2005,0.0,393.0,1208.0,1208.0,0.0,1208.0,0,2,0,2,6,0,2005,2,632.0,105.0,58.0,2,2006
120.0,26400.0,1880,2007,0.0,0.0,0.0,1288.0,728.0,2016.0,0,1,0,4,7,1,1900,2,576.0,0.0,0.0,6,2009
24.0,2645.0,1999,2000,456.0,813.0,960.0,962.0,645.0,1607.0,1,2,1,3,7,0,2000,2,480.0,169.0,0.0,12,2008
74.0,9627.0,2007,2007,0.0,24.0,1351.0,1361.0,0.0,1361.0,0,2,0,3,6,0,2007,2,610.0,0.0,50.0,6,2008
93.0,10114.0,2004,2005,0.0,0.0,1430.0,1430.0,0.0,1430.0,0,2,0,3,7,0,2004,2,624.0,0.0,0.0,3,2010
34.0,4571.0,1916,1950,0.0,0.0,624.0,624.0,720.0,1344.0,0,1,0,4,7,0,1916,3,513.0,0.0,0.0,5,2008
80.0,8816.0,1963,1963,0.0,651.0,1121.0,1121.0,0.0,1121.0,1,1,0,3,5,0,1963,2,480.0,0.0,80.0,6,2009
71.0,8197.0,1977,1977,148.0,0.0,660.0,1285.0,0.0,1285.0,0,1,1,3,7,1,1977,2,528.0,138.0,0.0,4,2007
72.0,8640.0,2009,2009,0.0,24.0,756.0,764.0,783.0,1547.0,0,2,1,3,7,0,2009,2,614.0,169.0,45.0,6,2010
109.0,8724.0,1968,1968,0.0,492.0,894.0,894.0,0.0,894.0,0,1,0,3,5,1,1968,2,450.0,0.0,0.0,5,2007
40.0,5664.0,2000,2000,0.0,1158.0,1501.0,1659.0,0.0,1659.0,1,2,0,2,5,1,2000,2,499.0,212.0,59.0,10,2009
103.0,12867.0,2005,2006,99.7,0.0,1209.0,1209.0,1044.0,2253.0,0,2,1,3,8,1,2005,2,575.0,243.0,142.0,7,2006
69.06,7980.0,1992,2007,0.0,935.0,1168.0,1187.0,0.0,1187.0,1,2,0,3,6,0,1992,2,420.0,483.0,21.0,3,2010
100.0,34650.0,1955,1955,0.0,1056.0,1056.0,1056.0,0.0,1056.0,1,1,0,3,5,0,1955,2,572.0,264.0,0.0,1,2006
92.0,10573.0,1961,1961,3.0,1312.0,1453.0,1453.0,0.0,1453.0,1,2,0,3,6,1,1961,2,530.0,0.0,49.0,4,2009
65.0,8450.0,1965,2009,0.0,553.0,894.0,894.0,0.0,894.0,1,1,0,3,5,1,1973,1,336.0,416.0,144.0,4,2010
69.06,11700.0,1937,1995,0.0,606.0,942.0,1265.0,673.0,1938.0,0,2,0,4,7,1,1937,1,240.0,0.0,40.0,7,2008
75.0,8250.0,1895,2006,0.0,0.0,957.0,1034.0,957.0,1991.0,0,2,0,4,9,0,2005,0,0.0,0.0,0.0,6,2007
60.0,8064.0,1949,2006,0.0,0.0,672.0,672.0,252.0,924.0,0,1,0,3,6,1,2003,2,576.0,0.0,0.0,7,2007
80.0,9600.0,1981,1981,0.0,1104.0,2524.0,2524.0,0.0,2524.0,1,2,1,4,9,1,1981,2,542.0,474.0,120.0,7,2009
69.06,11435.0,1929,1950,0.0,0.0,792.0,792.0,725.0,1517.0,0,1,0,3,7,2,1931,2,400.0,0.0,0.0,6,2006
30.0,9549.0,1995,1996,0.0,437.0,1494.0,1494.0,0.0,1494.0,1,1,1,2,6,1,1995,2,481.0,0.0,30.0,4,2006
60.0,10950.0,1952,1952,0.0,441.0,948.0,948.0,0.0,948.0,0,1,0,2,5,0,1952,2,410.0,0.0,48.0,4,2007
79.0,10637.0,2007,2008,336.0,1288.0,1705.0,1718.0,0.0,1718.0,1,2,0,3,7,1,2007,3,826.0,208.0,44.0,9,2009
80.0,9000.0,1958,1958,82.0,0.0,160.0,1142.0,0.0,1142.0,0,1,0,2,5,1,1958,1,384.0,0.0,28.0,4,2009
41.0,2665.0,1977,1977,0.0,548.0,757.0,925.0,550.0,1475.0,0,2,0,4,6,1,1977,1,336.0,104.0,26.0,7,2006
105.0,11751.0,1977,1977,480.0,705.0,1844.0,1844.0,0.0,1844.0,0,2,0,3,7,1,1977,2,546.0,0.0,122.0,1,2010
80.0,9600.0,1973,1973,320.0,916.0,1242.0,1242.0,0.0,1242.0,0,1,1,3,6,1,1973,2,528.0,0.0,0.0,9,2007
60.0,8428.0,1994,1994,0.0,420.0,990.0,990.0,0.0,990.0,1,1,0,3,5,0,1995,1,384.0,256.0,0.0,7,2007
75.0,9937.0,1965,1965,0.0,830.0,1256.0,1256.0,0.0,1256.0,1,1,1,3,6,0,1965,1,276.0,736.0,68.0,6,2008
69.06,9101.0,1978,1978,104.0,1097.0,1097.0,1110.0,0.0,1110.0,1,1,0,1,4,1,1978,2,602.0,303.0,30.0,7,2009
81.0,12150.0,1954,1954,335.0,0.0,1050.0,1050.0,745.0,1795.0,0,2,0,4,7,0,1954,1,352.0,0.0,0.0,11,2008
70.0,11200.0,1965,1965,0.0,906.0,1040.0,1040.0,0.0,1040.0,1,1,0,3,5,0,1965,1,384.0,0.0,0.0,2,2008
100.0,9670.0,1935,1950,40.0,210.0,608.0,983.0,890.0,1873.0,0,1,1,4,9,2,1935,2,786.0,0.0,0.0,6,2008
60.0,10998.0,1941,1960,0.0,408.0,984.0,984.0,620.0,1604.0,0,2,0,3,6,0,1977,2,660.0,0.0,68.0,7,2009
