lot_shape,utilities,land_slope,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,heating_qc,electrical,kitchen_abvgr,kitchen_qual,functional,fireplace_qu,garage_finish,garage_qual,garage_cond,paved_drive,Overall Qual,Overall Cond,SalePrice
0.0,0.0,0.0,2.0,4.0,4.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,6.0,8.0,130500.0
0.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,4.0,1.0,4.0,4.0,2.0,7.0,5.0,220000.0
3.0,0.0,0.0,3.0,2.0,4.0,4.0,3.0,2.0,5.0,4.0,4.0,1.0,2.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,7.0,109000.0
3.0,0.0,0.0,3.0,4.0,2.0,4.0,3.0,5.0,5.0,2.0,4.0,1.0,3.0,7.0,2.0,0.0,4.0,4.0,2.0,5.0,5.0,174000.0
0.0,0.0,0.0,3.0,4.0,1.0,2.0,3.0,5.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,0.0,6.0,8.0,138500.0
0.0,0.0,0.0,2.0,4.0,4.0,4.0,3.0,0.0,4.0,0.0,4.0,1.0,2.0,4.0,2.0,0.0,4.0,4.0,2.0,6.0,6.0,190000.0
3.0,0.0,0.0,3.0,4.0,2.0,4.0,1.0,2.0,5.0,2.0,4.0,1.0,3.0,7.0,2.0,0.0,4.0,4.0,2.0,6.0,5.0,140000.0
0.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,1.0,4.0,1.0,3.0,7.0,2.0,1.0,4.0,4.0,2.0,5.0,5.0,142000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,5.0,112500.0
0.0,0.0,2.0,3.0,4.0,2.0,4.0,0.0,4.0,5.0,4.0,4.0,1.0,1.0,7.0,4.0,2.0,4.0,4.0,2.0,5.0,5.0,135000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,0.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,6.0,5.0,85400.0
0.0,0.0,0.0,2.0,4.0,2.0,4.0,0.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,7.0,5.0,183600.0
3.0,0.0,0.0,2.0,4.0,4.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,3.0,4.0,4.0,2.0,4.0,4.0,1.0,5.0,7.0,131000.0
3.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,2.0,4.0,4.0,2.0,8.0,5.0,200000.0
3.0,0.0,0.0,2.0,4.0,2.0,4.0,0.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,7.0,5.0,193000.0
3.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,5.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,5.0,5.0,173500.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,1.0,4.0,1.0,3.0,7.0,2.0,2.0,1.0,1.0,2.0,5.0,5.0,98000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,6.0,139000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,0.0,4.0,1.0,3.0,7.0,4.0,1.0,4.0,4.0,2.0,6.0,5.0,143500.0
3.0,0.0,0.0,3.0,4.0,2.0,4.0,2.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,2.0,4.0,4.0,2.0,7.0,5.0,215200.0
3.0,0.0,0.0,3.0,4.0,2.0,4.0,3.0,1.0,5.0,2.0,4.0,1.0,3.0,7.0,3.0,0.0,4.0,4.0,2.0,5.0,5.0,129000.0
